,property_id,price,neighbourhood,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,host_id,calculated_host_listings_count,arp_2019
0,2539,149,kensington,Private room,1,9,0.21,365,2787,6,2042.0
1,2595,225,midtown,Entire home,1,45,0.38,355,2845,2,5794.0
2,3647,150,harlem,Private room,3,0,0.0,365,4632,1,2609.0
3,3831,89,clinton hill,Entire home,1,270,4.64,194,4869,1,3057.0
4,5022,80,east harlem,Entire home,10,9,0.1,0,7192,1,2664.0
5,5099,200,murray hill,Entire home,3,74,0.59,129,7322,1,4040.0
6,5121,60,bedford stuyvesant,Private room,45,49,0.4,0,7356,1,2442.0
7,5178,79,hells kitchen,Private room,2,430,3.47,220,8967,1,3796.0
8,5203,79,upper west side,Private room,2,118,0.99,0,7490,1,3749.0
9,5238,150,chinatown,Entire home,1,160,1.33,188,7549,4,2531.0
10,5295,135,upper west side,Entire home,5,53,0.43,6,7702,1,3749.0
11,5441,85,hells kitchen,Private room,2,188,1.5,39,7989,1,3796.0
12,5803,89,south slope,Private room,4,167,1.34,314,9744,3,2575.0
13,6021,85,upper west side,Private room,2,113,0.91,333,11528,1,3749.0
14,6090,120,west village,Entire home,90,27,0.22,0,11975,1,5794.0
15,6848,140,williamsburg,Entire home,2,148,1.2,46,15991,1,3352.0
16,7097,215,fort greene,Entire home,2,198,1.72,321,17571,1,3174.0
17,7322,140,chelsea,Private room,1,260,2.12,12,18946,1,6327.0
18,7726,99,crown heights,Entire home,3,53,4.44,21,20950,1,2321.0
19,7750,190,east harlem,Entire home,7,0,0.0,249,17985,2,2664.0
20,7801,299,williamsburg,Entire home,3,9,0.07,0,21207,1,3352.0
21,8024,130,park slope,Private room,2,130,1.09,347,22486,6,3172.0
22,8025,80,park slope,Private room,1,39,0.37,364,22486,6,3172.0
23,8110,110,park slope,Private room,2,71,0.61,304,22486,6,3172.0
24,8490,120,bedford stuyvesant,Entire home,2,88,0.73,233,25183,2,2442.0
25,8505,60,windsor terrace,Private room,1,19,1.37,85,25326,2,2442.0
26,8700,80,inwood,Private room,4,0,0.0,0,26394,1,1787.0
27,9357,150,hells kitchen,Entire home,10,58,0.49,75,30193,1,3796.0
